epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,90.4903,1.29326,1.77753,0.48466,0.65807,0.01956,6.56625,0.99587,0.96552,0.99271,0.60397,0.96354,0.91139,0.92453,0.16337,1.41494,3.59404,0.14969,0.4126,0.02289,0,0.00195248,0.00195248,0.00195248
26,93.9016,1.24145,1.70601,0.46785,0.65075,0.01893,6.2665,0.99524,1,0.995,0.70279,0.91266,0.91379,0.87791,0.14142,1.17125,3.54778,0.13872,0.33181,0.0172,0,0.0019505,0.0019505,0.0019505
27,97.3126,1.204,1.75623,0.43966,0.64126,0.01759,6.15058,0.96522,0.95694,0.98893,0.61579,0.91313,0.90618,0.91636,0.18477,1.4421,3.42792,0.1322,0.4246,0.02274,0,0.00194852,0.00194852,0.00194852
28,100.756,1.21689,1.70697,0.44768,0.58354,0.01763,6.09621,0.95061,0.99551,0.99143,0.7297,0.93416,0.9785,0.98078,0.26043,1.07284,3.00252,0.13945,0.32185,0.01664,0,0.00194654,0.00194654,0.00194654
29,104.16,1.40712,1.72764,0.43715,0.75842,0.02105,6.01627,1,0.99133,0.995,0.45067,0.98262,0.97487,0.97983,0.26166,1.96183,3.10702,0.14411,0.4914,0.03349,0,0.00194456,0.00194456,0.00194456
30,107.64,1.2952,1.69188,0.42906,0.67521,0.01948,5.90136,0.98091,0.88586,0.96947,0.62057,0.94316,0.85833,0.91596,0.22435,1.31783,3.32156,0.1623,0.51299,0.01992,0,0.00194258,0.00194258,0.00194258
31,111.28,1.26162,1.69187,0.41355,0.67127,0.01848,5.86422,0.84592,0.85197,0.92248,0.45743,0.81177,0.81799,0.88813,0.20062,1.74704,3.3675,0.15375,0.71886,0.02657,0,0.0019406,0.0019406,0.0019406
32,115.051,1.15236,1.61397,0.4057,0.63598,0.01689,5.69134,0.8048,0.89655,0.92937,0.49915,0.7869,0.87931,0.90514,0.23185,1.56249,3.09896,0.1395,0.85267,0.02426,0,0.00193862,0.00193862,0.00193862
33,118.793,1.13764,1.80597,0.38415,0.58717,0.01625,5.64332,0.7662,0.96062,0.91924,0.54774,0.73425,0.95276,0.8678,0.20373,1.44287,3.19403,0.12478,0.69667,0.02354,0,0.00193664,0.00193664,0.00193664
34,122.495,1.11466,1.68918,0.37478,0.6261,0.01685,5.50738,0.90875,0.74138,0.9164,0.56484,0.78986,0.75862,0.8555,0.18088,1.39374,3.37447,0.1329,0.69305,0.02154,0,0.00193466,0.00193466,0.00193466
35,126.094,1.13462,1.72506,0.39348,0.57471,0.01682,5.44715,0.82271,0.80015,0.91484,0.54899,0.72334,0.7931,0.83067,0.16689,1.50037,3.39412,0.13408,0.7742,0.02267,0,0.00193268,0.00193268,0.00193268
36,129.781,1.16056,1.68159,0.41827,0.69222,0.01697,5.37311,0.91535,0.93219,0.98231,0.52781,0.86471,0.88162,0.9357,0.17793,1.7705,3.26625,0.12853,0.56797,0.02749,0,0.0019307,0.0019307,0.0019307
37,133.396,1.21678,1.6208,0.36898,0.65536,0.01759,5.11658,0.92481,0.93103,0.9762,0.54397,0.88759,0.89655,0.93518,0.24224,1.67448,3.02312,0.14801,0.63507,0.02581,0,0.00192872,0.00192872,0.00192872
38,137.026,1.24626,1.51141,0.40039,0.71715,0.01914,5.10533,0.95106,0.91379,0.96928,0.57615,0.91082,0.87931,0.89396,0.21652,1.50486,3.0277,0.15242,0.55745,0.02242,0,0.00192674,0.00192674,0.00192674
39,140.714,1.186,1.51467,0.34463,0.68579,0.01821,5.15481,0.88293,0.91024,0.95915,0.61547,0.79698,0.84483,0.84464,0.18634,1.29695,3.32284,0.12613,0.65739,0.02002,0,0.00192476,0.00192476,0.00192476
40,144.351,1.16929,1.63244,0.34861,0.65246,0.0163,5.22153,0.94528,0.89364,0.96439,0.4801,0.89904,0.84483,0.89789,0.20037,1.77336,3.23581,0.12159,0.91143,0.02755,0,0.00192278,0.00192278,0.00192278
41,147.892,1.14048,1.53515,0.35498,0.64236,0.01627,5.21754,0.92456,0.84524,0.96739,0.60951,0.90526,0.82759,0.95067,0.20687,1.28084,3.19347,0.08403,0.76125,0.01984,0,0.0019208,0.0019208,0.0019208
42,151.492,1.13808,1.73286,0.36657,0.66658,0.01641,5.35954,0.86611,0.86207,0.91322,0.51664,0.86611,0.86207,0.91322,0.25166,1.59857,3.00707,0.08021,0.78237,0.02653,0,0.00191882,0.00191882,0.00191882
43,155.106,1.21226,1.45344,0.35387,0.62984,0.01851,5.31293,0.87968,0.75637,0.89305,0.6149,0.87968,0.75637,0.89305,0.2202,1.14067,3.01717,0.07799,0.772,0.01884,0,0.00191684,0.00191684,0.00191684
