Layer Name                                         | Shape                | Parameter Count
model.15.m.0.cv1.bn.num_batches_tracked            | []                   | 1
model.15.m.0.cv2.conv.weight                       | [32, 32, 3, 3]       | 9,216
model.15.m.0.cv2.bn.weight                         | [32]                 | 32
model.15.m.0.cv2.bn.bias                           | [32]                 | 32
model.15.m.0.cv2.bn.running_mean                   | [32]                 | 32
model.15.m.0.cv2.bn.running_var                    | [32]                 | 32
model.15.m.0.cv2.bn.num_batches_tracked            | []                   | 1
model.16.conv.weight                               | [64, 64, 3, 3]       | 36,864
model.16.bn.weight                                 | [64]                 | 64
model.16.bn.bias                                   | [64]                 | 64
model.16.bn.running_mean                           | [64]                 | 64
model.16.bn.running_var                            | [64]                 | 64
model.16.bn.num_batches_tracked                    | []                   | 1
model.18.cv1.conv.weight                           | [128, 192, 1, 1]     | 24,576
model.18.cv1.bn.weight                             | [128]                | 128
model.18.cv1.bn.bias                               | [128]                | 128
model.18.cv1.bn.running_mean                       | [128]                | 128
model.18.cv1.bn.running_var                        | [128]                | 128
model.18.cv1.bn.num_batches_tracked                | []                   | 1
model.18.cv2.conv.weight                           | [128, 192, 1, 1]     | 24,576
model.18.cv2.bn.weight                             | [128]                | 128
model.18.cv2.bn.bias                               | [128]                | 128
model.18.cv2.bn.running_mean                       | [128]                | 128
model.18.cv2.bn.running_var                        | [128]                | 128
model.18.cv2.bn.num_batches_tracked                | []                   | 1
model.18.m.0.cv1.conv.weight                       | [64, 64, 3, 3]       | 36,864
model.18.m.0.cv1.bn.weight                         | [64]                 | 64
model.18.m.0.cv1.bn.bias                           | [64]                 | 64
model.18.m.0.cv1.bn.running_mean                   | [64]                 | 64
model.18.m.0.cv1.bn.running_var                    | [64]                 | 64
model.18.m.0.cv1.bn.num_batches_tracked            | []                   | 1
model.18.m.0.cv2.conv.weight                       | [64, 64, 3, 3]       | 36,864
model.18.m.0.cv2.bn.weight                         | [64]                 | 64
model.18.m.0.cv2.bn.bias                           | [64]                 | 64
model.18.m.0.cv2.bn.running_mean                   | [64]                 | 64
model.18.m.0.cv2.bn.running_var                    | [64]                 | 64
model.18.m.0.cv2.bn.num_batches_tracked            | []                   | 1
model.19.conv.weight                               | [128, 128, 3, 3]     | 147,456
model.19.bn.weight                                 | [128]                | 128
model.19.bn.bias                                   | [128]                | 128
model.19.bn.running_mean                           | [128]                | 128
model.19.bn.running_var                            | [128]                | 128
model.19.bn.num_batches_tracked                    | []                   | 1
model.21.cv1.conv.weight                           | [256, 384, 1, 1]     | 98,304
model.21.cv1.bn.weight                             | [256]                | 256
model.21.cv1.bn.bias                               | [256]                | 256
model.21.cv1.bn.running_mean                       | [256]                | 256
model.21.cv1.bn.running_var                        | [256]                | 256
model.21.cv1.bn.num_batches_tracked                | []                   | 1
model.21.cv2.conv.weight                           | [256, 384, 1, 1]     | 98,304
model.21.cv2.bn.weight                             | [256]                | 256
model.21.cv2.bn.bias                               | [256]                | 256
