epoch,train/total_loss,train/classification_loss,train/bbox_regression_loss,val/total_loss,val/classification_loss,val/bbox_regression_loss,metrics/precision,metrics/recall,metrics/f1,metrics/mean_iou
1,1.2111344544080118,0.8394477982966664,0.3716866555162512,1.9698887765407562,1.377121105293433,0.5927676732341448,0.9876288659793815,0.9560878243512974,0.9716024340770791,0.8500701022297456
2,0.9700196755770296,0.690297705630144,0.27972196953031964,1.9658980051676431,1.3977711081504822,0.5681268937885762,0.9877800407331976,0.9680638722554891,0.9778225806451614,0.850812538137141
3,0.8186001039731997,0.5888528723400622,0.22974723294234503,2.119707015156746,1.5137361447016398,0.6059708672265212,0.9859437751004017,0.9800399201596807,0.982982982982983,0.8354837934499846
4,0.7110227243111918,0.5131147444581452,0.19790797979353716,1.9846013406912486,1.4396781186262766,0.5449232039352258,0.9897330595482546,0.9620758483033932,0.9757085020242915,0.8520348290932129
5,0.6101510198638082,0.43989729286192325,0.1702537266448283,1.9112295498450598,1.393509110311667,0.5177204405268033,0.9919517102615694,0.9840319361277445,0.9879759519038076,0.8594125048625784
6,0.542130002579369,0.38942838341188124,0.1527016196078576,2.0182603935400647,1.5051968405644098,0.5130635512371858,0.9900199600798403,0.9900199600798403,0.9900199600798403,0.8596682824915455
7,0.49163401045928745,0.34982865829818166,0.14180535289902277,2.0458522061506907,1.5364499693115552,0.5094022432963053,0.9920159680638723,0.9920159680638723,0.9920159680638722,0.8590042380020172
8,0.42534967004871976,0.29912174347871406,0.12622792718890377,2.0250971883535387,1.524165552854538,0.5009316235780716,0.992,0.9900199600798403,0.991008991008991,0.8706860311569706
9,0.38988588186213,0.2703350100535364,0.11955087124325406,2.1610927313566206,1.6475412676731744,0.5135514619449775,0.9920159680638723,0.9920159680638723,0.9920159680638722,0.866077378722024
10,0.3407537033811164,0.23245625938184725,0.10829744397546537,2.2357989023129146,1.7308660835027694,0.504932822783788,0.9940119760479041,0.9940119760479041,0.9940119760479041,0.8587779989204254
11,0.31237967062396366,0.2097274061685172,0.10265226456256339,2.307738669713338,1.8132250010967255,0.49451367060343426,0.9920159680638723,0.9920159680638723,0.9920159680638722,0.8638534399585225
12,0.2780677781889614,0.18204236216248035,0.0960254156337188,2.3211230665445326,1.8150269349416097,0.5060961271325747,0.9880715705765407,0.9920159680638723,0.9900398406374502,0.8674584896991431
13,0.25728259662898206,0.16547059518294022,0.09181200108898524,2.2822137475013733,1.7949417526523272,0.48727199137210847,0.9920477137176938,0.9960079840319361,0.9940239043824701,0.8663636491389456
14,0.2416047525767701,0.15364367607683418,0.08796107652969064,2.1941410531600316,1.7288910607496897,0.4652499921619892,0.9900596421471173,0.9940119760479041,0.99203187250996,0.8705352742269815
15,0.21941659296044527,0.13631460300316445,0.08310199004654496,2.4235655079285303,1.9348137790958087,0.48875173379977543,0.9861111111111112,0.9920159680638723,0.9890547263681592,0.8701004892047982
16,0.20140645946985997,0.12159687466919422,0.0798095845566771,2.3340202192465465,1.867648333311081,0.46637188692887627,0.9920318725099602,0.9940119760479041,0.9930209371884346,0.8660295809129156
17,0.19345569073820648,0.11514428285911632,0.07831140774221847,2.2629697928826014,1.8244827950994174,0.43848698859413465,0.9900596421471173,0.9940119760479041,0.99203187250996,0.8757461218470072
18,0.18070455362050297,0.10639092798669117,0.07431362588970235,2.5076287388801575,2.018874921898047,0.4887538286546866,0.9880952380952381,0.9940119760479041,0.991044776119403,0.8642447520211998
19,0.16285407857392162,0.09282657543655497,0.07002750317009683,2.525724188486735,2.0490984871983526,0.4766256963213285,0.9841897233201581,0.9940119760479041,0.9890764647467726,0.8640073403775932
20,0.1567425686663713,0.08732578300903686,0.06941678527349862,2.4258868932724,1.982059290508429,0.44382759804526967,0.9880952380952381,0.9940119760479041,0.991044776119403,0.8632612423485063
21,0.1483552002797302,0.08214231705614411,0.06621288335004363,2.4704520136117933,2.0203599125146865,0.4500920866926511,0.9880952380952381,0.9940119760479041,0.991044776119403,0.8688266186350321
22,0.13857322893798732,0.07456966596967972,0.06400356271836799,2.444319334626198,2.00268484801054,0.4416344958047072,0.9803536345776032,0.9960079840319361,0.988118811881188,0.8715105194128109
